SKU,Description,Quantity Sold,Last Updated,Store ID,Region,Unit Price,Total Sales,Quantity Remaining,30-Day Sales Trend
79321,CHILI LIGHTS,181,10/1/16 9:58,16029,Northeast,10.4,"$1,882.40 ",16,9.00%
22466,FAIRY TALE COTTAGE NIGHTLIGHT,437,10/1/16 9:58,16029,Northeast,3.94,"1,721.78",432,960.00%
22780,LIGHT GARLAND BUTTERFILES PINK,186,10/1/16 9:58,16029,Northeast,9.16,"1,703.76",1,9.00%
22779,WOODEN OWLS LIGHT GARLAND ,173,10/1/16 9:58,16029,Northeast,9.16,"1,584.68",192,500.00%
21731,RED TOADSTOOL LED NIGHT LIGHT,432,10/1/16 9:58,16029,Northeast,3.4,"1,468.80",432,960.00%
22423,REGENCY CAKESTAND 3 TIER,40,10/1/16 14:32,15397,Northeast,34.6,"1,384.00",1,100.00%
21258,VICTORIAN SEWING BOX LARGE,32,10/1/16 9:09,15100,Northeast,29.78,952.96,32,-9.00%
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,128,10/1/16 11:32,14045,Northeast,6.94,888.32,128,10.00%
22189,CREAM HEART CARD HOLDER,72,10/1/16 12:12,13694,Northeast,9.22,663.84,72,-9.00%
35004C,SET OF 3 COLOURED  FLYING DUCKS,48,10/1/16 10:51,17924,Northeast,12.64,606.72,53,5.00%
21154,RED RETROSPOT OVEN GLOVE ,200,10/1/16 12:12,13694,Northeast,2.88,576,200,-9.00%
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,80,10/1/16 9:00,13748,Northeast,6.94,555.2,80,10.00%
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,80,10/1/16 13:23,15485,Northeast,6.94,555.2,85,120.00%
22654,DELUXE SEWING KIT ,40,10/1/16 10:19,17511,Northeast,13.46,538.4,45,-120.00%
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,33,10/1/16 14:32,15397,Northeast,16.08,530.64,1,100.00%
84880,WHITE WIRE EGG HOLDER,36,10/1/16 9:57,16029,Northeast,13.46,484.56,41,6.00%
22633,HAND WARMER UNION JACK,96,10/1/16 10:39,13408,Northeast,5.04,483.84,101,-9.00%
22865,HAND WARMER OWL DESIGN,96,10/1/16 10:39,13408,Northeast,5.04,483.84,101,-8.00%
22632,HAND WARMER RED RETROSPOT,96,10/1/16 10:39,13408,Northeast,5.04,483.84,101,-8.00%
22866,HAND WARMER SCOTTY DOG DESIGN,96,10/1/16 10:39,13408,Northeast,5.04,483.84,101,-8.00%
22867,HAND WARMER BIRD DESIGN,96,10/1/16 11:27,12791,Northeast,5.04,483.84,101,6.00%
22423,REGENCY CAKESTAND 3 TIER,16,10/1/16 12:27,16210,Northeast,29.78,476.48,21,7.00%
22114,HOT WATER BOTTLE TEA AND SYMPATHY,48,10/1/16 9:32,15291,Northeast,9.38,450.24,48,-9.00%
22827,RUSTIC  SEVENTEEN DRAWER SIDEBOARD,1,10/1/16 10:29,13705,Northeast,448.8,448.8,6,-9.00%
85099B,JUMBO BAG RED RETROSPOT,100,10/1/16 10:19,17511,Northeast,4.48,448,105,-9.00%
85099B,JUMBO BAG RED RETROSPOT,100,10/1/16 9:57,16029,Northeast,4.48,448,1,7.00%
85099C,JUMBO  BAG BAROQUE BLACK WHITE,100,10/1/16 9:57,16029,Northeast,4.48,448,105,7.00%
21733,RED HANGING HEART T-LIGHT HOLDER,64,10/1/16 9:32,15291,Northeast,6.94,444.16,64,-9.00%
85123A,WHITE HANGING HEART T-LIGHT HOLDER,64,10/1/16 10:19,17511,Northeast,6.94,444.16,69,-9.00%
22837,HOT WATER BOTTLE BABUSHKA ,36,10/1/16 11:22,15513,Northeast,11.56,416.16,41,4.00%
17021,NAMASTE SWAGAT INCENSE,600,10/1/16 12:12,13694,Northeast,0.66,396,600,150.00%
84879,ASSORTED COLOUR BIRD ORNAMENT,80,10/1/16 13:45,18144,Northeast,4.6,368,85,-3.00%
22188,BLACK HEART CARD HOLDER,36,10/1/16 12:12,13694,Northeast,9.22,331.92,36,-9.00%
22969,HOMEMADE JAM SCENTED CANDLES,96,10/1/16 10:19,17511,Northeast,3.4,326.4,101,-9.00%
22595,CHRISTMAS GINGHAM HEART,144,10/1/16 12:27,16210,Northeast,1.96,282.24,149,7.00%
22593,CHRISTMAS GINGHAM STAR,144,10/1/16 12:27,16210,Northeast,1.96,282.24,149,7.00%
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,40,10/1/16 10:19,17511,Northeast,6.94,277.6,45,-8.00%
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,40,10/1/16 11:22,15513,Northeast,6.94,277.6,45,4.00%
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,40,10/1/16 11:22,15513,Northeast,6.94,277.6,45,5.00%
22470,HEART OF WICKER LARGE,40,10/1/16 9:53,18074,Northeast,6.94,277.6,45,6.00%
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,40,10/1/16 13:23,15485,Northeast,6.94,277.6,45,120.00%
21485,RETROSPOT HEART HOT WATER BOTTLE,24,10/1/16 10:19,17511,Northeast,11.56,277.44,29,-120.00%
22444,GROW YOUR OWN PLANT IN A CAN ,96,10/1/16 13:24,12433,West,2.88,276.48,1,-240.00%
22867,HAND WARMER BIRD DESIGN,48,10/1/16 10:47,13767,Southeast,5.72,274.56,53,-8.00%
22866,HAND WARMER SCOTTY DOG DESIGN,48,10/1/16 10:47,13767,Southeast,5.72,274.56,53,-8.00%
22041,"RECORD FRAME 7"" SINGLE SIZE ",48,10/1/16 12:27,16210,Northeast,5.72,274.56,53,6.00%
22139,RETROSPOT TEA SET CERAMIC 11 PC ,23,10/1/16 9:41,15311,Northeast,11.56,265.88,23,9.00%
85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,10/1/16 14:11,16456,Northeast,8.02,256.64,0,-200.00%
22381,TOY TIDY PINK POLKADOT,50,10/1/16 9:45,16098,Southeast,5.04,252,55,7.00%
84970S,HANGING HEART ZINC T-LIGHT HOLDER,144,10/1/16 10:19,17511,Northeast,1.74,250.56,149,-9.00%
84050,PINK HEART SHAPE EGG FRYING PAN,72,10/1/16 13:24,12433,West,3.4,244.8,1,-240.00%
84030E,ENGLISH ROSE HOT WATER BOTTLE,24,10/1/16 10:19,17511,Northeast,10.2,244.8,29,-80.00%
21915,RED  HARMONICA IN BOX ,72,10/1/16 11:58,13255,Northeast,3.4,244.8,72,-9.00%
